er,time
"1,094.25",2016-09-23
"1,090.19",2016-09-22
"1,104.84",2016-09-21
"1,109.79",2016-09-20
"1,112.96",2016-09-19
,2016-09-18
,2016-09-17
,2016-09-16
,2016-09-15
,2016-09-14
"1,097.12",2016-09-13
"1,100.49",2016-09-12
,2016-09-11
,2016-09-10
"1,086.73",2016-09-09
"1,080.99",2016-09-08
"1,082.57",2016-09-07
"1,093.26",2016-09-06
"1,099",2016-09-05
,2016-09-04
,2016-09-03
"1,106.43",2016-09-02
"1,104.25",2016-09-01
"1,108.21",2016-08-31
"1,106.63",2016-08-30
"1,116.03",2016-08-29
,2016-08-28
,2016-08-27
"1,103.56",2016-08-26
"1,110.19",2016-08-25
"1,112.67",2016-08-24
"1,107.12",2016-08-23
"1,111.87",2016-08-22
,2016-08-21
,2016-08-20
"1,096.92",2016-08-19
"1,094.65",2016-08-18
"1,086.73",2016-08-17
"1,086.63",2016-08-16
,2016-08-15
,2016-08-14
,2016-08-13
"1,088.01",2016-08-12
"1,086.23",2016-08-11
"1,090.19",2016-08-10
"1,096.92",2016-08-09
"1,105.04",2016-08-08
,2016-08-07
,2016-08-06
"1,099.89",2016-08-05
"1,102.37",2016-08-04
"1,103.16",2016-08-03
"1,097.32",2016-08-02
"1,102.47",2016-08-01
,2016-07-31
,2016-07-30
"1,112.96",2016-07-29
"1,114.25",2016-07-28
"1,122.86",2016-07-27
"1,130.29",2016-07-26
"1,125.44",2016-07-25
,2016-07-24
,2016-07-23
"1,125.44",2016-07-22
"1,130.09",2016-07-21
"1,131.38",2016-07-20
"1,126.53",2016-07-19
"1,125.93",2016-07-18
,2016-07-17
,2016-07-16
"1,121.38",2016-07-15
"1,135.24",2016-07-14
"1,134.25",2016-07-13
"1,137.51",2016-07-12
"1,139",2016-07-11
,2016-07-10
,2016-07-09
"1,146.72",2016-07-08
"1,146.92",2016-07-07
"1,152.76",2016-07-06
"1,139.49",2016-07-05
"1,139.79",2016-07-04
,2016-07-03
,2016-07-02
"1,137.02",2016-07-01
"1,141.87",2016-06-30
"1,156.62",2016-06-29
"1,170.98",2016-06-28
"1,167.71",2016-06-27
,2016-06-26
,2016-06-25
"1,137.51",2016-06-24
"1,139.10",2016-06-23
"1,143.26",2016-06-22
"1,147.41",2016-06-21
"1,153.06",2016-06-20
,2016-06-19
,2016-06-18
"1,156.82",2016-06-17
"1,156.92",2016-06-16
"1,166.32",2016-06-15
"1,160.58",2016-06-14
"1,160.68",2016-06-13
,2016-06-12
,2016-06-11
"1,149.99",2016-06-10
"1,140.39",2016-06-09
"1,146.23",2016-06-08
"1,152.27",2016-06-07
,2016-06-06
,2016-06-05
,2016-06-04
"1,175.93",2016-06-03
"1,179.29",2016-06-02
"1,178.80",2016-06-01
"1,176.62",2016-05-31
"1,177.41",2016-05-30
,2016-05-29
,2016-05-28
"1,166.42",2016-05-27
"1,167.31",2016-05-26
"1,175.83",2016-05-25
"1,172.36",2016-05-24
"1,171.67",2016-05-23
,2016-05-22
,2016-05-21
"1,174.84",2016-05-20
"1,178.80",2016-05-19
"1,168.80",2016-05-18
"1,163.06",2016-05-17
"1,166.32",2016-05-16
,2016-05-15
,2016-05-14
"1,160.38",2016-05-13
"1,154.25",2016-05-12
"1,154.54",2016-05-11
"1,162.86",2016-05-10
"1,154.15",2016-05-09
,2016-05-08
,2016-05-07
,2016-05-06
,2016-05-05
"1,139.10",2016-05-04
"1,123.46",2016-05-03
"1,133.46",2016-05-02
,2016-05-01
,2016-04-30
"1,124.84",2016-04-29
"1,135.24",2016-04-28
"1,134.74",2016-04-27
"1,137.42",2016-04-26
"1,137.32",2016-04-25
,2016-04-24
,2016-04-23
"1,127.91",2016-04-22
"1,123.56",2016-04-21
"1,118.90",2016-04-20
"1,133.65",2016-04-19
"1,140.29",2016-04-18
,2016-04-17
,2016-04-16
"1,139.79",2016-04-15
"1,138.60",2016-04-14
,2016-04-13
"1,132.66",2016-04-12
"1,142.27",2016-04-11
,2016-04-10
,2016-04-09
"1,150.19",2016-04-08
"1,141.77",2016-04-07
"1,145.43",2016-04-06
"1,143.85",2016-04-05
"1,138.21",2016-04-04
,2016-04-03
,2016-04-02
"1,132.66",2016-04-01
"1,134.54",2016-03-31
"1,141.87",2016-03-30
